2019-11-11 14:49:59 RON ndb_1 LED PASS, attempt 1
2019-11-11 16:03:43 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:03:44 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:03:45 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:03:46 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:03:47 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:03:48 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:03:49 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:03:50 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:03:51 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:03:52 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:03:53 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:03:54 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:03:55 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:03:56 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:03:57 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:03:58 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:03:59 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:05:48 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:05:49 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:05:50 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:05:51 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:05:52 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:05:54 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:05:55 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:05:57 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:05:58 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:05:59 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:06:00 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:06:01 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:06:02 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:06:03 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:06:04 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:06:05 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:06:06 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:06:07 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:06:08 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:06:09 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:06:10 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:06:11 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:06:13 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:06:14 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:06:15 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:06:16 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:06:17 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:06:18 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:06:19 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:06:20 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:06:21 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:06:22 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:06:23 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:06:24 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:06:25 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:06:26 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:06:27 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:06:29 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:06:30 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:06:31 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:06:32 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:06:33 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:06:34 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:06:35 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:06:36 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:06:37 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:06:38 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:06:39 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:06:40 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:06:41 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:06:42 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:06:43 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:06:44 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:06:45 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:06:46 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:06:47 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:06:48 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:06:49 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:06:50 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:06:51 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:06:53 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:06:54 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:06:55 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:06:56 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:06:57 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:06:58 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:06:59 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:07:00 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:07:01 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:07:02 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:07:03 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:07:04 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:07:05 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:07:06 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:07:07 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:07:08 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:07:09 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:07:10 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:07:11 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:07:12 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:07:13 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:07:14 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:07:15 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:07:16 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:07:17 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:07:18 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:07:20 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:07:21 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:07:22 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:07:23 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:07:24 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:07:25 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:07:26 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:07:27 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:07:28 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:07:29 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:07:30 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:07:31 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:07:32 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:07:33 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:07:35 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:07:36 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:07:37 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:07:38 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:07:39 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:07:40 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:07:41 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:07:42 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:07:43 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:07:44 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:07:45 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:07:46 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:07:47 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:07:48 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:07:49 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:07:50 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:07:51 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:07:52 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:07:53 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:07:54 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:21:00 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:21:01 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:21:02 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:21:03 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:21:04 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:21:05 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:21:06 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:21:08 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:21:09 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:21:10 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:21:11 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:21:12 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:21:13 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:21:14 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:21:15 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:21:16 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:21:17 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:21:18 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:21:19 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:21:20 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:21:21 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:21:22 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:21:23 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:21:24 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:21:25 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:21:26 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:21:27 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:21:28 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:21:29 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:21:30 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:21:32 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:21:33 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:21:34 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:21:35 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:21:36 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:21:37 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:21:38 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:21:39 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:21:40 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:21:41 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:21:42 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:21:43 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:21:44 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:21:45 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:21:47 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:21:48 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:21:49 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:21:50 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:21:51 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:21:52 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:21:53 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:21:54 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:21:55 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:21:56 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:21:57 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:21:58 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:21:59 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:22:00 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:22:01 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:22:02 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:22:03 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:22:04 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:22:05 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:22:06 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:22:07 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:22:08 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:22:09 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:22:10 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:22:11 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:22:12 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:22:13 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:22:14 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:22:15 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:22:16 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:22:17 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:22:19 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:22:20 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:22:21 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:22:22 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:22:23 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:22:24 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:22:25 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:22:26 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:22:27 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:22:28 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:22:29 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:22:30 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:22:31 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:22:32 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:22:33 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:22:34 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:22:35 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:22:36 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:22:37 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:22:38 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:22:39 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:22:40 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:22:41 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:22:42 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:22:43 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:22:45 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:22:46 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:22:48 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:22:49 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:22:50 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:22:51 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:22:52 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:22:53 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:22:54 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:22:55 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:22:56 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:22:57 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:22:58 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:22:59 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:23:00 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:23:01 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:23:02 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:23:03 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:23:04 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:23:05 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:24:00 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:24:01 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:24:02 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:24:03 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:24:04 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:24:05 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:24:06 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:24:07 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:24:08 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:24:09 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:24:11 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:24:12 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:24:13 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:24:14 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:24:15 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:24:16 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:24:17 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:24:18 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:24:19 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:24:20 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:24:21 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:24:22 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:24:23 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:24:24 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:24:25 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:24:26 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:24:27 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:24:28 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:24:30 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:24:31 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:24:32 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:24:33 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:24:34 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:24:35 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:24:36 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:24:37 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:24:38 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:24:39 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:24:40 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:24:41 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:24:42 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:24:43 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:24:44 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:24:46 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:24:47 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:24:48 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:24:49 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:24:50 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:24:51 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:24:52 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:24:53 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:24:54 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:24:55 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:24:56 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:24:57 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:24:58 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:24:59 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:25:00 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:25:02 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:25:03 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:25:04 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:25:06 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:25:07 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:25:08 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:25:09 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:25:11 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:25:12 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:25:13 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:25:14 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:25:15 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:25:16 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:25:17 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:25:18 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:25:19 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:25:20 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:25:21 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:25:22 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:25:23 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:25:24 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:25:25 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:25:26 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:25:27 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:25:28 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:25:29 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:25:30 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:25:32 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:25:33 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:25:34 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:25:35 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:25:36 RON ndb_4 LED FAIL, attempt 5
